Id,Name,City,State,Country,Region,IATA,ICAO,Latitude,Longitude,Elevation,UTC,DST
6398,Guangyuan Airport,Guangyuan,Chongqing,China,Asia,GYS,ZUGU,32.3911,105.702,0,8,U
6399,Luzhou Airport,Luzhou,Chongqing,China,Asia,LZO,ZULZ,28.8522,105.393,0,8,U
6400,Mianyang Airport,Mianyang,Chongqing,China,Asia,MIG,ZUMY,31.4281,104.741,0,8,U
6401,Nanchong Airport,Nanchong,Chongqing,China,Asia,NAO,ZUNC,30.754,106.062,0,8,U
6402,Nyingchi Airport,Nyingchi,Chongqing,China,Asia,LZY,ZUNZ,29.3033,94.3353,9675,8,U
6403,Wanxian Airport,Wanxian,Chongqing,China,Asia,WXN,ZUWX,30.8361,108.406,0,8,U
6404,Aksu Airport,Aksu,Chongqing,China,Asia,AKU,ZWAK,41.2625,80.2917,0,8,U
6405,Qiemo Airport,Qiemo,Chongqing,China,Asia,IQM,ZWCM,38.1494,85.5328,4108,8,U
6406,Kuqa Airport,Kuqa,Chongqing,China,Asia,KCA,ZWKC,41.7181,82.9869,3524,8,U
6407,Korla Airport,Korla,Chongqing,China,Asia,KRL,ZWKL,41.6978,86.1289,0,8,U
6408,Karamay Airport,Karamay,Chongqing,China,Asia,KRY,ZWKM,45.617,84.883,0,8,U
6409,Yining Airport,Yining,Chongqing,China,Asia,YIN,ZWYN,43.9558,81.3303,0,8,U
6410,Heihe Airport,Heihe,Chongqing,China,Asia,HEK,ZYHE,50.25,127.3,8530,8,U
6411,Jiamusi Airport,Jiamusi,Chongqing,China,Asia,JMU,ZYJM,46.843394,130.465389,262,8,U
6412,Jinzhou Airport,Jinzhou,Chongqing,China,Asia,JNZ,ZYJZ,41.1014,121.062,0,8,U
6413,Qiqihar Sanjiazi Airport,Qiqihar,Chongqing,China,Asia,NDG,ZYQQ,47.239628,123.918131,477,8,U
6414,Yanji Airport,Yanji,Chongqing,China,Asia,YNJ,ZYYJ,42.8828,129.451258,624,8,U
6417,Valletta Sea Plane Terminal,Valletta,Malta,Malta,Europe,,\N,35.888863,14.508417,0,1,E
6418,Gozo Sea Plane Terminal,Mgarr,Malta,Malta,Europe,,\N,36.026389,14.298333,0,1,E
6419,Mount Keith,Mount Keith,Perth,Australia,Australia,WME,YMNE,-27.286389,120.554722,1792,8,O
6420,Gran Roque Airport,Los Roques,Caracas,Venezuela,America,LRV,SVRS,11.95,-66.67,17,-4.5,S
6421,Inishmore Airport,Inis Mor,Dublin,Ireland,Europe,IOR,EIIM,53.1067,-9.65361,24,0,U
6422,Connemara Regional Airport,Indreabhan,Dublin,Ireland,Europe,NNR,EICA,53.2303,-9.46778,0,0,U
6423,Guettin MecklenburgVorpommern Germany,Ruegen,Berlin,Germany,Europe,GTI,EDCG,54.383333,13.325278,69,1,U
6424,Berezovo,Berezovo,Yekaterinburg,Russia,Asia,NBB,USHB,63.9241,65.0487,98,6,N
6425,Szczecin-Dabie,Szczecin,Warsaw,Poland,Europe,,EPSD,53.471138,14.63775,3,1,E
6426,Worcester Regional Airport,Worcester,New York,United States,America,ORH,KORH,42.2673,-71.8757,1009,-5,A
6427,Anqing Airport,Anqing,Chongqing,China,Asia,AQG,ZSAQ,30.5822,117.0502,0,8,N
6428,Jing Gang Shan Airport,Ji An,Chongqing,China,Asia,JGS,\N,26.8997,114.7375,0,8,N
6429,Shanhaiguan Airport,Qinhuangdao,Chongqing,China,Asia,SHP,ZBSH,39.9681,119.731,0,8,N
6430,Zhangxiao,Yuncheng,Chongqing,China,Asia,YCU,ZBYC,35.018,110.993,0,8,N
6431,Lanzhou Airport,Lanzhou,Chongqing,China,Asia,LHW,ZLAN,36.117,103.617,0,8,N
6432,Jiayuguan Airport,Jiayuguan,Chongqing,China,Asia,JGN,ZLJQ,39.8569,98.3414,0,8,N
6433,Dandong,Dandong,Chongqing,China,Asia,DDG,ZYDD,40.0255,124.2866,0,8,N
6434,Ordos Ejin Horo,Dongsheng,Chongqing,China,Asia,DSN,ZBDS,39.85,110.033,0,8,N
6435,Panzhihua,Panzhihua,Chongqing,China,Asia,PZI,ZUZH,26.54,101.799,9186,8,N
6436,Grytviken,Grytviken,South Georgia,South Georgia and the Islands,Atlantic,,\N,-54.16534,-36.30288,0,-2,N
6437,South Shetland,South Shetland,NULL,Antarctica,#VALUE!,,\N,-68,-58,0,-4,N
6438,South Shetland,South Shetland,South Pole,Antarctica,Antarctica,,\N,-63.37,-62.83,0,12,N
6439,New Rochelle Amtrak Station,New Rochelle,New York,United States,America,,\N,40.913923,-73.782008,66,-5,A
8838,Anoka County Blaine Airport,Anoka,Chicago,United States,America,,KANE,45.1448889,-93.2101944,912,-6,U
6441,New Haven Rail Station,New Haven,New York,United States,America,ZVE,\N,41.298669,-72.925992,7,-5,A
6442,Chicago Union Station,Chicago,Chicago,United States,America,,\N,41.8791966,-87.6388507,581,-6,A
6443,Dibrugarh Airport,Dibrugarh,Calcutta,India,Asia,DIB,\N,27.4839,95.0169,362,5.5,N
6444,Doha Free Zone Airport,Doha,Qatar,Qatar,Asia,XOZ,\N,24.8333,50.9166,0,3,N
6445,Bremerton National,Bremerton,Los Angeles,United States,America,PWT,KPWT,47.490244,-122.764814,444,-8,A
6446,Spencer Muni,Spencer,Chicago,United States,America,SPW,KSPW,43.165527,-95.202805,1339,-6,A
6447,Jefferson City Memorial Airport,Jefferson City,Chicago,United States,America,JEF,KJEF,38.5912,-92.1561,549,-6,A
6448,Grand Canyon West Airport,Grand Canyon West,Phoenix,United States,America,GCW,\N,35.5925,-113.4859,4825,-7,U
6449,Boulder City Municipal Airport,Boulder City,Phoenix,United States,America,BLD,KBVU,35.5651,-114.514,2201,-7,U
6450,Tannheim,Tannheim,Berlin,Germany,Europe,,EDMT,48.011736,10.100903,1902,1,E
6451,Glenview Amtrak Station,Glenview,Chicago,United States,America,,\N,42.074197,-87.805346,630,-6,A
6452,Baltimore Penn Station,Baltimore,New York,United States,America,,\N,39.307408,-76.615552,62,-5,A
6453,Summit Camp,Ice Cap,Danmarkshavn,Greenland,America,,\N,72.579187,-38.4572,11000,0,U
6454,Unst Airport,Unst,London,United Kingdom,Europe,UNT,EGPW,60.7472,-0.85385,0,0,E
6455,Pagerungan,Pagerungan,Jakarta,Indonesia,Asia,,WA19,-6.956608,115.931239,20,7,N
6456,Provincetown Muni,Provincetown,New York,United States,America,PVC,KPVC,42.071945,-70.22139,9,-5,A
6457,Kenmore Air Harbor Seaplane Base,Seattle,Los Angeles,United States,America,LKE,KW55,47.629,-122.339,14,-8,A
6458,Seria - Anduki,Seria,Brunei,Brunei,Asia,,WBAK,4.6333,114.3833,5,8,N
6459,Magas,Nazran,Moscow,Russia,Europe,%u0,%u04,43.323815,45.017761,1060,4,N
6460,Saint Barthelemy,Gustavia,NULL,France,#VALUE!,SBH,TFFJ,17.9023,-62.8324,50,-4,E
6461,Morro de Sao Paulo,Morro de Sao Paulo,NULL,Brazil,#VALUE!,,\N,-13.2314,-38.5432,10,3,S
6462,Morro de Sao Paulo,Morro de Sao Paulo,Fortaleza,Brazil,America,,\N,-13.386571,-38.909122,10,-3,S
6463,Belize City Municipal Airport,Belize,Belize,Belize,America,TZA,\N,17.5344,-88.298,15,-6,N
6464,Kostroma - Sokerkino,Kostroma,Moscow,Russia,Europe,,UUBA,57.47,41.01,453,4,N
6465,Sukhumi Dranda,Sukhumi,Tbilisi,Georgia,Asia,SUI,UGSS,42.87,41.12,0,4,N
6466,Tambow,Tambow,Moscow,Russia,Europe,TBW,UUOT,52.81,41.48,126,4,N
